id_unidade_orc;ano_exercicio;cd_unidade_orc;id_grupo_administracao;grupo_administracao;id_administracao;administracao;nome
1807;2011;2431;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE
1808;2011;4141;4;FUNDOS;4;FUNDOS;FUNDO PENITENCIARIO ESTADUAL
1809;2011;4171;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
1810;2012;3151;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;RADIO INCONFIDENCIA LTDA.
1811;2012;4171;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
1812;2012;2181;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO CLOVIS SALGADO
1813;2011;1051;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS
1814;2011;1071;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS
1815;2004;2141;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS
1816;2004;1201;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL
1817;2003;2311;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;UNIVERSIDADE ESTADUAL DE MONTES CLAROS
1818;2003;4321;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PREVENCAO, FISCALIZACAO E REPRESSAO DE ENTORPECENTES
1819;2003;1381;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA ESTADO TRABALHO,ASSIST.SOCIAL,CRIANCA E ADOLESCENTE
1820;2003;1421;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DA COMUNICACAO SOCIAL
1821;2003;9999;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EMG - ADMINISTRACAO DIRETA
1822;2003;1471;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO REGIONAL E POLITICA URBANA
1823;2003;1941;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1824;2005;2261;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO EZEQUIEL DIAS
1825;2005;5261;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;TRANSPORTES METROPOLITANOS DE BELO HORIZONTE S.A.
1826;2009;2011;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS
1827;2009;1021;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS
1828;2009;2041;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;LOTERIA DO ESTADO DE MINAS GERAIS
1829;2009;2111;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO RURAL MINEIRA - RURALMINAS
1830;2009;4111;4;FUNDOS;4;FUNDOS;FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
1831;2012;2271;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
1832;2012;2321;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS
1833;2012;2381;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS
1834;2012;2401;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE GEOCIENCIAS APLICADAS
1835;2011;4381;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES
1836;2002;2091;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO ESTADUAL DO MEIO AMBIENTE
1837;2004;1241;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA
1838;2004;5261;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;TREM METROPOLITANO DE BELO  HORIZONTE S.A.
1839;2004;4321;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PREVENCAO, FISCALIZACAO E REPRESSAO DE ENTORPECENTES
1840;2004;2351;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;UNIVERSIDADE DO ESTADO DE MINAS GERAIS
1841;2004;2391;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS
1842;2004;2401;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE GEOCIENCIAS APLICADAS
1843;2011;1631;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA-GERAL
1844;2004;2061;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO JOAO PINHEIRO
1845;2004;2071;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
1846;2004;2091;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO ESTADUAL DO MEIO AMBIENTE
1847;2004;1111;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA
1848;2010;2451;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO CENTRO INTERNACIONAL DE EDUCACAO, CAPACITACAO E PESQUISA APLICADA EM AGUAS
1849;2011;9999;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EMG - ADMINISTRACAO DIRETA
1850;2002;1201;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL
1851;2002;3151;5;EMPRESAS DEPENDENTES;5;EMPRESAS SUBVENCIONADAS;RADIO INCONFIDENCIA LTDA.
1852;2002;4081;4;FUNDOS;4;FUNDOS;FUNDO DE DESENVOLVIMENTO URBANO
1853;2002;4071;4;FUNDOS;4;FUNDOS;FUNDO SOMMA
1854;2003;5051;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
1855;2006;4401;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PROMOCAO DOS DIREITOS HUMANOS
1856;2006;1101;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS
1857;2002;2141;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS
1858;2002;2181;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO CLOVIS SALGADO
1859;2002;2301;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS
1860;2002;2401;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE GEOCIENCIAS APLICADAS
1861;2002;2421;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
1862;2002;4051;4;FUNDOS;4;FUNDOS;FUNDO DE INCENTIVO A INDUSTRIALIZACAO
1863;2002;4341;4;FUNDOS;4;FUNDOS;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO MG
1864;2012;4451;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR
1865;2009;4181;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE  DESENVOLVIMENTO DE COMUNIDADES
1866;2009;2211;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO TV MINAS CULTURAL E EDUCATIVA
1867;2009;2241;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO MINEIRO DE GESTAO DAS AGUAS
1868;2009;2251;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS
1869;2009;4251;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
1870;2009;2261;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO EZEQUIEL DIAS
1871;2009;4291;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE SAUDE
1872;2009;2331;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE PESOS E MEDIDAS DO ESTADO DE MINAS GERAIS
1873;2005;1351;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE HABITACAO E DESENVOLVIMENTO URBANO
1874;2005;2371;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO MINEIRO DE AGROPECUARIA
1875;2005;4391;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE RECUPERACAO DO PATRIMONIO HISTORICO, ARTISTICO E ARQUITETONICO
1876;2003;2091;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO ESTADUAL DO MEIO AMBIENTE
1877;2003;4121;4;FUNDOS;4;FUNDOS;FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS
1878;2003;3151;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;RADIO INCONFIDENCIA LTDA.
1879;2008;2391;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS
1880;2008;4451;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR
1881;2008;9901;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;RECEITA GERAL DO ESTADO
1882;2008;4411;4;FUNDOS;4;FUNDOS;FUNDO ROTATIVO DE FOMENTO A AGRICULTURA FAMILIAR E DE VIABILIZACAO DE
1883;2008;4381;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES
1884;2008;4341;4;FUNDOS;4;FUNDOS;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO MG
1885;2008;2421;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
1886;2005;4421;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS
1887;2005;4431;4;FUNDOS;4;FUNDOS;FUNDO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS
1888;2005;1451;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE DEFESA SOCIAL
1889;2005;1511;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS
1890;2005;1111;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA
1891;2004;9901;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;RECEITA GERAL DO ESTADO
1892;2004;4411;4;FUNDOS;4;FUNDOS;FUNDO ROTATIVO DE FOMENTO A AGRICULTURA FAMILIAR E DE VIABILIZACAO DE ASSENTAMENTOS AGRARIOS
1893;2004;4061;4;FUNDOS;4;FUNDOS;FUNDO PRO-FLORESTA
1894;2004;1091;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;PROCURADORIA GERAL DE JUSTICA
1895;2012;4341;4;FUNDOS;4;FUNDOS;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M
1896;2011;1321;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE SAUDE
1897;2011;1401;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
1898;2011;1551;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;DEPARTAMENTO DE TRANSITO DE MINAS GERAIS
1899;2011;1561;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;CIDADE ADMINISTRATIVA
1900;2004;2281;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
1901;2004;2331;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE PESOS E MEDIDAS DO ESTADO DE MINAS GERAIS
1902;2004;1941;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1903;2003;2251;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS
1904;2003;4251;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
1905;2008;1941;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1906;2008;4521;4;FUNDOS;4;FUNDOS;FUNDO DE UNIVERSALIZACAO DO ACESSO A SERVICOS DE TELECOMUNICACAO EM MINAS GERAIS
1907;2010;4271;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE APOIO A INDUSTRIA CINEMATOGRAFICA
1908;2010;2321;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS
1909;2010;2391;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS
1910;2010;3041;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS
1911;2010;2061;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO JOAO PINHEIRO
1912;2010;2071;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
1913;2010;1111;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA
1914;2010;1221;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E ENSINO SUPERIOR
1915;2010;2241;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO MINEIRO DE GESTAO DAS AGUAS
1916;2006;2231;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;ADMINISTRACAO DE ESTADIOS DO ESTADO DE MINAS GERAIS
1917;2006;1261;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE EDUCACAO
1918;2006;4271;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE APOIO A INDUSTRIA CINEMATOGRAFICA
1919;2006;2281;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
1920;2006;4321;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PREVENCAO, FISCALIZACAO E REPRESSAO DE ENTORPECENTES
1921;2006;2351;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;UNIVERSIDADE DO ESTADO DE MINAS GERAIS
1922;2006;2371;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO MINEIRO DE AGROPECUARIA
1923;2006;9901;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;RECEITA GERAL DO ESTADO
1924;2006;1911;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EGE SEC.FAZENDA-ENCARGOS DIVERSOS
1925;2006;1991;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;RESERVA DE CONTINGENCIA
1926;2010;1461;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO
1927;2010;1931;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EGE SEC.REC.HUMANOS E ADMINISTRACAO-OUTROS ENCARGOS
1928;2010;1541;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS
1929;2008;2011;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS
1930;2008;3051;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
1931;2008;2061;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO JOAO PINHEIRO
1932;2008;2091;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO ESTADUAL DO MEIO AMBIENTE
1933;2013;1251;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS
1934;2013;4291;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE SAUDE
1935;2013;1441;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS
1936;2013;4421;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS
1937;2013;4181;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE  DESENVOLVIMENTO DE COMUNIDADES
1938;2007;1191;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE FAZENDA
