id_unidade_orc,sqa_unidade_orcam,ano_exercicio,cd_unidade_orc,id_grupo_administracao,grupo_administracao,id_administracao,administracao,nome
1991,889.0,2008,2181,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO CLOVIS SALGADO
1992,894.0,2008,2201,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA
1993,903.0,2008,1251,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,POLICIA MILITAR DO ESTADO DE MINAS GERAIS
1994,904.0,2008,2251,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS
1995,1070.0,2009,1911,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,EGE SEC.FAZENDA-ENCARGOS DIVERSOS
1996,1089.0,2009,1481,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL
1997,1090.0,2009,1461,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO
1998,1093.0,2009,1941,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1999,14.0,2002,1041,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,TRIBUNAL DE ALCADA DO ESTADO DE MINAS GERAIS
2000,16.0,2002,1071,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS
2001,17.0,2002,1081,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,PROCURADORIA GERAL DO ESTADO DE MINAS GERAIS
2002,20.0,2002,1121,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DA CASA CIVIL DO ESTADO DE MINAS GERAIS
2003,28.0,2002,1211,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DA JUSTICA E DE DIREITOS HUMANOS
2004,30.0,2002,4421,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS
2005,32.0,2002,1221,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE CIENCIA E  TECNOLOGIA
2006,39.0,2002,4391,4,FUNDOS,4,FUNDOS,"FUNDO ESTADUAL DE RECUPERACAO DO PATRIMONIO HISTORICO, ARTISTICO E ARQUITETONICO"
2007,40.0,2002,1281,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ESPORTES
2008,42.0,2002,1301,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS
2009,45.0,2002,1321,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE SAUDE
2010,47.0,2002,1351,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE HABITACAO E DESENVOLVIMENTO URBANO
2011,48.0,2002,4101,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE HABITACAO
2012,49.0,2002,1371,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL
2013,57.0,2002,1915,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,TRANSFERENCIAS DO ESTADO A EMPRESAS
2014,64.0,2002,2011,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS
2015,68.0,2002,2071,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
2016,1321.0,2011,2261,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO EZEQUIEL DIAS
2017,1433.0,2012,1091,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,PROCURADORIA GERAL DE JUSTICA
2018,1435.0,2012,4091,4,FUNDOS,4,FUNDOS,FUNDO PARA A INFANCIA E A ADOLESCENCIA
2019,1441.0,2012,2121,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS
2020,772.0,2007,2251,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS
2021,1523.0,2012,1521,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,CONTROLADORIA-GERAL DO ESTADO
2022,1326.0,2011,2321,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS
2023,1095.0,2009,4441,4,FUNDOS,4,FUNDOS,FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS
2024,1096.0,2009,4461,4,FUNDOS,4,FUNDOS,FUNDO FINANCEIRO DE PREVIDENCIA
2025,1105.0,2009,4501,4,FUNDOS,4,FUNDOS,FUNDO DE EQUALIZACAO DO ESTADO DE MINAS GERAIS
2026,442.0,2005,3041,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS
2027,453.0,2005,2071,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
2028,488.0,2005,4181,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE  DESENVOLVIMENTO DE COMUNIDADES
2029,1335.0,2011,2421,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
2030,1342.0,2011,4041,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO REGIONAL DO JAIBA
2031,1356.0,2011,4341,4,FUNDOS,4,FUNDOS,"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO MG"
2032,1454.0,2012,2161,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO EDUCACIONAL CAIO MARTINS
2033,1460.0,2012,1191,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE FAZENDA
2034,1263.0,2011,1031,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS
2035,1008.0,2009,2121,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS
2036,325.0,2004,1121,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DA CASA CIVIL
2037,327.0,2004,4121,4,FUNDOS,4,FUNDOS,FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS
2038,334.0,2004,2151,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO HELENA ANTIPOFF
2039,337.0,2004,5151,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,RADIO INCONFIDENCIA LTDA.
2040,340.0,2004,1171,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE RECURSOS HUMANOS E ADMINISTRACAO
2041,1440.0,2012,4111,4,FUNDOS,4,FUNDOS,FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
2042,256.0,2003,9901,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,RECEITA GERAL DO ESTADO
2043,262.0,2003,1401,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
2044,271.0,2003,1431,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE GOVERNO E DE ASSUNTOS MUNICIPAIS
2045,277.0,2003,1441,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS
2046,284.0,2003,1511,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,POLICIA CIVIL DO ESTADO DE MINAS GERAIS
2047,288.0,2003,4081,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO URBANO
2048,1000.0,2009,2091,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO ESTADUAL DO MEIO AMBIENTE
2049,1004.0,2009,4101,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE HABITACAO
2050,1012.0,2009,1141,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS NO RIO DE JANEIRO
2051,1370.0,2011,4531,4,FUNDOS,4,FUNDOS,FUNDO DE INCENTIVO A INOVACAO TECNOLOGICA
2052,1471.0,2012,1251,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,POLICIA MILITAR DO ESTADO DE MINAS GERAIS
2053,1473.0,2012,4251,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
2054,1476.0,2012,2261,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO EZEQUIEL DIAS
2055,1485.0,2012,1321,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE SAUDE
2056,1491.0,2012,2351,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,UNIVERSIDADE DO ESTADO DE MINAS GERAIS
2057,1494.0,2012,2371,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO MINEIRO DE AGROPECUARIA
2058,355.0,2004,1231,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO"
2059,358.0,2004,2241,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO MINEIRO DE GESTAO DAS AGUAS
2060,370.0,2004,2271,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
2061,381.0,2004,2321,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS
2062,389.0,2004,1371,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL
2063,392.0,2004,2381,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS
2064,1140.0,2010,2091,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO ESTADUAL DO MEIO AMBIENTE
2065,305.0,2004,5051,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
2066,318.0,2004,2101,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO ESTADUAL DE FLORESTAS
2067,1253.0,2010,4541,4,FUNDOS,4,FUNDOS,FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS
2068,35.0,2002,1241,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DA SEGURANCA PUBLICA
2069,135.0,2002,9901,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,RECEITA GERAL DO ESTADO
2070,137.0,2002,4431,4,FUNDOS,4,FUNDOS,FUNDO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS
2071,145.0,2003,1031,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS
2072,152.0,2003,2051,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,COMISSAO DE DESENVOLVIMENTO DO VALE DO JEQUITINHONHA
2073,620.0,2006,4151,4,FUNDOS,4,FUNDOS,FUNDO DE ASSISTENCIA AO TURISMO
2074,636.0,2006,1231,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO"
2075,727.0,2007,2071,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
2076,746.0,2007,2141,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS
2077,1024.0,2009,2181,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO CLOVIS SALGADO
2078,73.0,2002,2121,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS
2079,81.0,2002,2231,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,ADMINISTRACAO DE ESTADIOS DO ESTADO DE MINAS GERAIS
2080,86.0,2002,2281,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
2081,89.0,2002,2311,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,UNIVERSIDADE ESTADUAL DE MONTES CLAROS
2082,90.0,2002,2321,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS
2083,94.0,2002,2371,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO MINEIRO DE AGROPECUARIA
2084,107.0,2002,5051,5,EMPRESAS DEPENDENTES,5,EMPRESAS SUBVENCIONADAS,EMPRESA DE PESQUISA AGROPECUARIA DE MG
2085,111.0,2002,5111,5,EMPRESAS DEPENDENTES,5,EMPRESAS SUBVENCIONADAS,EMPRESA MINEIRA DE TURISMO
2086,119.0,2002,4331,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO METROPOLITANO
2087,123.0,2002,4171,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
2088,157.0,2003,4061,4,FUNDOS,4,FUNDOS,FUNDO PRO-FLORESTA
2089,1029.0,2009,2201,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA
2090,1032.0,2009,1221,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,"SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E ENSINO SUPERIOR"
2091,1053.0,2009,1321,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE SAUDE
2092,514.0,2005,2271,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
2093,517.0,2005,2281,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
2094,524.0,2005,1321,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE SAUDE
2095,528.0,2005,4331,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO METROPOLITANO
2096,529.0,2005,1341,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,COORDENADORIA DE APOIO E ASSISTENCIA A PESSOA DEFICIENTE
2097,532.0,2005,2361,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS
2098,159.0,2003,2071,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
2099,173.0,2003,4111,4,FUNDOS,4,FUNDOS,FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
2100,174.0,2003,5111,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,EMPRESA MINEIRA DE TURISMO
2101,927.0,2008,2371,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO MINEIRO DE AGROPECUARIA
2102,939.0,2008,4401,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE PROMOCAO DOS DIREITOS HUMANOS
2103,561.0,2005,2421,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
1752,554.0,2005,4341,4,FUNDOS,4,FUNDOS,"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO MG"
1753,582.0,2006,4011,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO MINERO-METALURGICO
1754,593.0,2006,2061,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO JOAO PINHEIRO
1755,603.0,2006,4091,4,FUNDOS,4,FUNDOS,FUNDO PARA A INFANCIA E A ADOLESCENCIA
1756,609.0,2006,4111,4,FUNDOS,4,FUNDOS,FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
1757,610.0,2006,2121,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS
1758,622.0,2006,1161,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,ESCRITORIO  DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM SAO PAULO
1759,1691.0,2013,4111,4,FUNDOS,4,FUNDOS,FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
1760,1708.0,2013,4031,4,FUNDOS,4,FUNDOS,FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS
1761,1718.0,2014,4451,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR
1762,1719.0,2014,1101,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS
1763,882.0,2008,3151,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,RADIO INCONFIDENCIA LTDA.
1764,886.0,2008,2161,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO EDUCACIONAL CAIO MARTINS
1765,888.0,2008,4171,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
1766,913.0,2008,2281,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
1767,914.0,2008,4291,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE SAUDE
1768,1059.0,2009,2351,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,UNIVERSIDADE DO ESTADO DE MINAS GERAIS
1769,1068.0,2009,1915,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,TRANSFERENCIAS DO ESTADO A EMPRESAS
1770,1069.0,2009,9901,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,RECEITA GERAL DO ESTADO
1771,1074.0,2009,4401,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE PROMOCAO DOS DIREITOS HUMANOS
1772,1079.0,2009,2411,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS
1773,13.0,2002,1031,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS
1774,21.0,2002,1141,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS NO RIO DE JANEIRO
1775,51.0,2002,4251,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
1776,55.0,2002,1421,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DA COMUNICACAO SOCIAL
1777,61.0,2002,9801,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,FOLHA DE PESSOAL CENTRALIZADA
1778,1306.0,2011,2081,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS
1779,1308.0,2011,2101,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO ESTADUAL DE FLORESTAS
1780,1314.0,2011,2171,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE ARTE DE OURO PRETO
1781,1322.0,2011,2271,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
1782,1324.0,2011,2301,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS
1783,1414.0,2012,2011,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS
1784,1418.0,2012,2041,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,LOTERIA DO ESTADO DE MINAS GERAIS
